source_file,line,context,source_module,source_package,target_module,target_package,violates_target
src/contur/data/build_covariance.py,3,module,contur.data.build_covariance,data,contur.config.config,config,False
src/contur/data/build_database.py,7,module,contur.data.build_database,data,contur.config.config,config,False
src/contur/data/data_access_db.py,4,module,contur.data.data_access_db,data,contur.config.config,config,False
src/contur/data/data_access_db.py,5,module,contur.data.data_access_db,data,contur.config.state,config,False
src/contur/data/data_objects.py,4,module,contur.data.data_objects,data,contur.config.config,config,False
src/contur/data/sm_theory_builders.py,7,module,contur.data.sm_theory_builders,data,contur.config.config,config,False
src/contur/data/static_db.py,8,module,contur.data.static_db,data,contur.config.config,config,False
src/contur/data/static_db.py,9,module,contur.data.static_db,data,contur.config.paths,config,False
src/contur/data/build_covariance.py,95,function,contur.data.build_covariance,data,contur.factories.yoda_factories,factories,True
src/contur/data/sm_theory_builders.py,3,module,contur.data.sm_theory_builders,data,contur.factories.yoda_factories,factories,True
src/contur/data/data_objects.py,8,module,contur.data.data_objects,data,contur.plot.html_utils,plot,True
src/contur/data/data_access_db.py,6,module,contur.data.data_access_db,data,contur.scan.grid_tools,scan,True
src/contur/data/data_access_db.py,7,module,contur.data.data_access_db,data,contur.scan.os_functions,scan,True
src/contur/data/build_covariance.py,5,module,contur.data.build_covariance,data,contur.util.utils,util,False
src/contur/data/data_objects.py,6,module,contur.data.data_objects,data,contur.util.utils,util,False
src/contur/data/sm_theory_builders.py,9,module,contur.data.sm_theory_builders,data,contur.util.utils,util,False
src/contur/data/static_db.py,10,module,contur.data.static_db,data,contur.util.utils,util,False
src/contur/factories/contur_point.py,6,module,contur.factories.contur_point,factories,contur.config.config,config,False
src/contur/factories/contur_point.py,7,module,contur.factories.contur_point,factories,contur.config.state,config,False
src/contur/factories/depot.py,14,module,contur.factories.depot,factories,contur.config.config,config,False
src/contur/factories/likelihood.py,20,module,contur.factories.likelihood,factories,contur.config.config,config,False
src/contur/factories/likelihood.py,21,module,contur.factories.likelihood,factories,contur.config.state,config,False
src/contur/factories/likelihood.py,22,module,contur.factories.likelihood,factories,contur.config.state,config,False
src/contur/factories/test_observable.py,9,module,contur.factories.test_observable,factories,contur.config.config,config,False
src/contur/factories/test_observable.py,10,module,contur.factories.test_observable,factories,contur.config.state,config,False
src/contur/factories/yoda_factories.py,14,module,contur.factories.yoda_factories,factories,contur.config.config,config,False
src/contur/factories/yoda_factories.py,15,module,contur.factories.yoda_factories,factories,contur.config.state,config,False
src/contur/factories/yoda_factories.py,16,module,contur.factories.yoda_factories,factories,contur.config.state,config,False
src/contur/factories/contur_point.py,440,function,contur.factories.contur_point,factories,contur.data.static_db,data,False
src/contur/factories/contur_point.py,485,function,contur.factories.contur_point,factories,contur.data.data_access_db,data,False
src/contur/factories/depot.py,20,module,contur.factories.depot,factories,contur.data.data_access_db,data,False
src/contur/factories/depot.py,21,module,contur.factories.depot,factories,contur.data.data_access_db,data,False
src/contur/factories/depot.py,22,module,contur.factories.depot,factories,contur.data.static_db,data,False
src/contur/factories/likelihood.py,23,module,contur.factories.likelihood,factories,contur.data.static_db,data,False
src/contur/factories/test_observable.py,11,module,contur.factories.test_observable,factories,contur.data.static_db,data,False
src/contur/factories/test_observable.py,16,module,contur.factories.test_observable,factories,contur.data.data_objects,data,False
src/contur/factories/yoda_factories.py,17,module,contur.factories.yoda_factories,factories,contur.data.static_db,data,False
src/contur/factories/yoda_factories.py,21,module,contur.factories.yoda_factories,factories,contur.data.build_covariance,data,False
src/contur/factories/depot.py,16,module,contur.factories.depot,factories,contur.plot.yoda_plotting,plot,True
src/contur/factories/likelihood.py,27,module,contur.factories.likelihood,factories,contur.plot.profile_plot,plot,True
src/contur/factories/test_observable.py,13,module,contur.factories.test_observable,factories,contur.plot.yoda_plotting,plot,True
src/contur/factories/depot.py,15,module,contur.factories.depot,factories,contur.util.utils,util,False
src/contur/factories/likelihood.py,24,module,contur.factories.likelihood,factories,contur.util.file_readers,util,False
src/contur/factories/likelihood.py,25,module,contur.factories.likelihood,factories,contur.util.utils,util,False
src/contur/factories/test_observable.py,14,module,contur.factories.test_observable,factories,contur.util.utils,util,False
src/contur/factories/yoda_factories.py,18,module,contur.factories.yoda_factories,factories,contur.util.file_readers,util,False
src/contur/factories/yoda_factories.py,19,module,contur.factories.yoda_factories,factories,contur.util.utils,util,False
src/contur/oracle/cli.py,13,module,contur.oracle.cli,oracle,contur.config.config,config,False
src/contur/plot/contur_plot.py,28,module,contur.plot.contur_plot,plot,contur.config.config,config,False
src/contur/plot/contur_plot.py,29,module,contur.plot.contur_plot,plot,contur.config.state,config,False
src/contur/plot/contur_plot.py,30,module,contur.plot.contur_plot,plot,contur.config.paths,config,False
src/contur/plot/html_utils.py,3,module,contur.plot.html_utils,plot,contur.config.config,config,False
src/contur/plot/yoda_plotting.py,9,module,contur.plot.yoda_plotting,plot,contur.config.config,config,False
src/contur/plot/color_config.py,1,module,contur.plot.color_config,plot,contur.data.static_db,data,False
src/contur/plot/contur_plot.py,38,module,contur.plot.contur_plot,plot,contur.data.data_access_db,data,False
src/contur/plot/html_utils.py,1,module,contur.plot.html_utils,plot,contur.data.static_db,data,False
src/contur/plot/contur_interactivity.py,7,module,contur.plot.contur_interactivity,plot,contur.factories.likelihood_point,factories,False
src/contur/plot/contur_plot.py,35,module,contur.plot.contur_plot,plot,contur.factories.depot,factories,False
src/contur/plot/yoda_plotting.py,10,module,contur.plot.yoda_plotting,plot,contur.factories.likelihood,factories,False
src/contur/plot/contur_plot.py,31,module,contur.plot.contur_plot,plot,contur.util.utils,util,False
src/contur/plot/contur_plot.py,37,module,contur.plot.contur_plot,plot,contur.util.utils,util,False
src/contur/plot/html_utils.py,4,module,contur.plot.html_utils,plot,contur.util.utils,util,False
src/contur/plot/yoda_plotting.py,11,module,contur.plot.yoda_plotting,plot,contur.util.utils,util,False
src/contur/run/arg_utils.py,5,module,contur.run.arg_utils,run,contur.config.version,config,False
src/contur/run/arg_utils.py,6,module,contur.run.arg_utils,run,contur.config.config,config,False
src/contur/run/run_analysis.py,10,module,contur.run.run_analysis,run,contur.config.config,config,False
src/contur/run/run_analysis.py,11,module,contur.run.run_analysis,run,contur.config.state,config,False
src/contur/run/run_analysis.py,18,module,contur.run.run_analysis,run,contur.config.state,config,False
src/contur/run/run_batch_submit.py,15,module,contur.run.run_batch_submit,run,contur.config.config,config,False
src/contur/run/run_export.py,2,module,contur.run.run_export,run,contur.config.config,config,False
src/contur/run/run_extract_xs_bf.py,10,module,contur.run.run_extract_xs_bf,run,contur.config.config,config,False
src/contur/run/run_grid_tools.py,13,module,contur.run.run_grid_tools,run,contur.config.config,config,False
src/contur/run/run_grid_tools.py,14,module,contur.run.run_grid_tools,run,contur.config.config,config,False
src/contur/run/run_init.py,6,module,contur.run.run_init,run,contur.config.config,config,False
src/contur/run/run_mkbib.py,5,module,contur.run.run_mkbib,run,contur.config.config,config,False
src/contur/run/run_mkplots.py,9,module,contur.run.run_mkplots,run,contur.config.config,config,False
src/contur/run/run_mkthy.py,12,module,contur.run.run_mkthy,run,contur.config.config,config,False
src/contur/run/run_plot.py,21,module,contur.run.run_plot,run,contur.config.config,config,False
src/contur/run/run_smtest.py,12,module,contur.run.run_smtest,run,contur.config.config,config,False
