model_name,model_version,run_point,yoda_files,map_name,stat_type,combined_exclusion
,,0008,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0008/runpoint_0008.yoda.gz']",my_run,HLEXP,0.99980869713013409
,,0008,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0008/runpoint_0008.yoda.gz']",my_run,SMBG,0.07461500010110178
,,0009,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0009/runpoint_0009.yoda.gz']",my_run,EXP,0.38022658907304052
,,0009,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0009/runpoint_0009.yoda.gz']",my_run,HLEXP,1
,,0009,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0009/runpoint_0009.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0009/runpoint_0009.yoda.gz']",my_run,SMBG,0.40251832983424607
,,0010,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0010/runpoint_0010.yoda.gz']",my_run,EXP,0.99918597349874183
,,0010,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0010/runpoint_0010.yoda.gz']",my_run,HLEXP,1
,,0010,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0010/runpoint_0010.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0010/runpoint_0010.yoda.gz']",my_run,SMBG,0.96989172433197934
,,0011,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0011/runpoint_0011.yoda.gz']",my_run,EXP,0.99999999945629126
,,0011,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0011/runpoint_0011.yoda.gz']",my_run,HLEXP,1
